Report Type	Class	Year	Season	Month	State	County	Nearest Town	Time And Conditions	Date	National Park Visitation Count	Witness Count	Multiple Witnesses	BigFoot Hotspot	Forest cover rate	Number of lakes	Total Disasters	City/Suburb/Town/Rural	Unemployment_rate	Civilian labor force
Report	Class A	2004	Summer	September	Alaska	Southeast Fairbanks	State Highway 30 - 45 minutes west of customs station Alaska/Canadian border.	Late morning between 11am and noon. Bright sunny day, dry and clear. Rare vehicle traffic on highway as we didn't see our first passing car until the junction at Tetlin.	13	2296834	2.0	False	FALSE	30.4%	over 2000	0.0	Rural	12.0	2,769
Report	Class A	1997	Fall	January	Alaska	Valdez-Chitina-Whittier		Early Fall, in the early 1990's.	1		0.0	False	FALSE	30.4%	over 2000	0.0			
Report	Class B	1997	Unknown	December	Alabama	Autauga	Between Prattville and Austuagaville	Spot lighting at night with the head lights of the truck.	14	180765	1.0	False	FALSE	70.6%	0-250	0.0			
Report	Class A	2009	Summer	August	Alabama	Baldwin	hurricane landing, what is now perkins landing	approximately 11:00 pm, it was dark i had a flash light	30	88005	1.0	False	FALSE	70.6%	0-250	3.0	City	8.9	82,314
Report	Class A	2009	Winter	December	Alabama	Barbour	Clayton	Around 9pm at night. It was a dark, clear, crisp winter evening.	28	77353	7.0	True	FALSE	70.6%	0-250	3.0	Town	13.2	9,944
Report	Class B	2007	Summer	September	Alabama	Bibb	Montevallo	between 7-9 pm	10	272466	1.0	False	FALSE	70.6%	0-250	2.0	City	4.2	8,810
Report	Class B	2014	Fall	January	Alabama	Blount	Blountsville	I am hoping I got the season correct. I believe it was 5:30ish am and and on the cool side of warm outside. Plenty of morning light to see. No fog or haze either.	23	189451	1.0	False	FALSE	70.6%	0-250	2.0	City	6.1	24,571
Report	Class A	2015	Summer	November	Alabama	Blount	Between Culman and Warrior near Blount Springs.	Night, maybe 9 or 10 pm. Saw unknown creature in my car lights. Nearly ran over it.	9		0.0	False	FALSE	70.6%	0-250	2.0	City	5.4	24,416
Report	Class B	2004	Fall	June	Alabama	Blount	maybe 20 miles	Afternoon	28	362597	3.0	True	FALSE	70.6%	0-250	1.0	City	4.1	26,237
Report	Class C	1999	Summer	September	Alabama	Blount	this area is located in a triangle between Blountsville, Hanceville & Holly Pond.	late evening hours and late Summer for both events.	17		1.0	True	FALSE	70.6%	0-250	3.0			
Report	Class A	2014	Summer	June	Alabama	Cherokee	Cedar Bluff	It was almost 11 am. And the sun was shining.	17	343925	0.0	False	FALSE	70.6%	0-250	2.0	Town	5.8	11,407
Report	Class A	2013	Fall	November	Alabama	Chilton	Clanton	It was a clear evening and I had good light.	22	328965	2.0	False	FALSE	70.6%	0-250	1.0	City	6.7	19,339
Report	Class A	2009	Spring	November	Alabama	Chilton	Verbena	11:00 am /1:30 pm	11	206791	0.0	False	FALSE	70.6%	0-250	3.0	City	9.8	19,393
Report	Class A	2015	Summer	July	Alabama	Clarke	Gainestown	3:30 am 4am,ish	9	387470	0.0	False	FALSE	70.6%	0-250	2.0	Rural	11.8	7,976
Report	Class B	2008	Fall	August	Alabama	Clarke	Carlton	it was clear weather,about 9-11 pm some where in that time frame	15	166482	2.0	False	FALSE	70.6%	0-250	4.0	Rural	9.3	10,366
Report	Class B	2013	Fall	December	Alabama	Clarke	Chance, Al and Packers Bend, Al	It was a clear night about between 8:30 and 9:00pm	23	181059	2.0	False	FALSE	70.6%	0-250	1.0	Rural	14.0	8,286
Report	Class A	1996	Winter	December	Alabama	Clarke	Between Salitpa and Jackson.		5	613593	0.0	False	FALSE	70.6%	0-250	0.0			
Report	Class B	2013	Fall	November	Alabama	Clay	Ashland	2:15 PM, broad daylight, weather clear	13	328965	2.0	False	FALSE	70.6%	0-250	1.0	Rural	8.5	5,390
Report	Class B	2008	Winter	January	Alabama	Clay	Unknown/Talladega National Forest	"3:00 a.m., full moon, recent snowfall of about 2"", howing wind, 14 degrees."	22	387145	2.0	False	FALSE	70.6%	0-250	4.0	Rural	8.2	5,739
Report	Class A	2020	Summer	December	Alabama	Cleburne	Heflin	Early Afternoon, Hot , clear skies	28	851017	2.0	False	FALSE	70.6%	0-250	9.0	Rural	4.6	5,737
Report	Class B	2000	Fall	September	Alabama	Cleburne	Heflin	the screem was in the early morning and i saw the foot prints at about 10:00 or 11:00 in the day	3	776839	2.0	False	FALSE	70.6%	0-250	2.0	Rural	4.1	7,002
Report	Class A	2015	Winter	February	Alabama	Coffee	Rocky Head community	Approximately 5 pm. Clear weather, cold.	12	328965	1.0	False	FALSE	70.6%	0-250	2.0	Suburb	6.0	20,222
Report	Class B	2014	Fall	February	Alabama	Colbert	Cherokee Alabama	It all took place at early morning	22	328965	0.0	False	FALSE	70.6%	0-250	2.0	City	8.3	24,069
Report	Class A	2010	Winter	April	Alabama	Colbert	muscle shoals	it was near 4oclock evening around 38 degrees cloudy low light conditions	11	363857	1.0	False	FALSE	70.6%	0-250	0.0	City	11.3	24,229
Report	Class A	2000	Fall	November	Alabama	Colbert	Muscle Shoals, Alabama	I have heard screams anytime from late afternoon to around midnight, but once at about 7 am. The weather has usually been clear with little wind blowing.  A couple of times its been overcast.  I rarely was out when it was raining or stormy.  The sightings all took place during clear conditions.	2		2.0	False	FALSE	70.6%	0-250	2.0	City	5.6	26,124
Report	Class A	2013	Summer	October	Alabama	Conecuh	Evergreen	At dusk	25	348992	1.0	False	FALSE	70.6%	0-250	1.0	Rural	10.9	4,694
Report	Class A	2002	Winter	August	Alabama	Conecuh		1:30 to 2:00 a.m.  Clear and moonlit night.  Full or near full moon.	5	206791	2.0	False	FALSE	70.6%	0-250	3.0	Rural	8.2	5,179
Report	Class B	2004	Spring	May	Alabama	Covington	opp	the banging happens mostly at night. and the howlers mostly around dusk.	9	348992	2.0	False	FALSE	70.6%	0-250	1.0	Town	6.6	17,185
Report	Class A	2012	Fall	May	Alabama	Covington	Andalusia	Morning	5		1.0	False	FALSE	70.6%	0-250	3.0	Town	8.6	16,364
Report	Class A	2014	Summer	June	Alabama	Cullman	Bremen	Today Sunday 6/8/2014 at about 815 pm it was almost dark and had rained earlier in the day	8	343925	0.0	False	FALSE	70.6%	0-250	2.0	Suburb	6.0	35,984
Report	Class A	2013	Winter	April	Alabama	Cullman	Falkville	between 4:30 and 5pm clear evening.	17	328965	5.0	True	FALSE	70.6%	0-250	1.0	Suburb	6.8	35,750
Report	Class B	2012	Spring	March	Alabama	Dale	Pinckard	Around 9PM It was cloudy and rain had come eariler in the afternoon and evening. It was not raining at the time.	6	351690	1.0	False	FALSE	70.6%	0-250	3.0	Suburb	7.6	21,388
Report	Class B	2008	Spring	January	Alabama	Dale	Ft Rucker, AL	Took place around or shortly after noon. As I recall it was clear and sunny, humid and typical April tempshigh 70s or so.	11	416376	4.0	True	FALSE	70.6%	0-250	4.0	Suburb	5.6	19,834
Report	Class A	2006	Summer	March	Alabama	Dallas	Orrville	2:00 p.m. in July of 1985.  A clear summer afternoon	11	180765	1.0	False	FALSE	70.6%	0-250	3.0	Suburb	8.1	15,909
Report	Class A	2012	Fall	February	Alabama	Escambia	Brewton	About dusk	13	160710	1.0	False	FALSE	70.6%	0-250	3.0	Town	9.4	14,749
Report	Class B	2013	Winter	February	Alabama	Etowa	Gadsden	The 2nd main sighting I had was around 8:30 in the morning. Around 30 degrees and a lite rain, kind of cloudy.	10	328965	0.0	False	FALSE	70.6%	0-250	1.0	City	7.7	43,830
Report	Class A	2012	Fall	November	Alabama	Etowa	Gadsden	7pm well lit moon some clouds	7	328477	0.0	False	FALSE	70.6%	0-250	3.0	City	8.5	44,283
Report	Class B	2009	Winter	March	Alabama	Franklin	Russellville	It was about 5pm on a clear day.	11	477157	4.0	True	FALSE	70.6%	0-250	3.0	Town	12.3	13,171
Report	Class A	2006	Winter	July	Alabama	Franklin	Russellville	between 4-5pm. weather was clear.  lighting was bright enough to see deer plainly and whatever the creature was.	4		1.0	False	FALSE	70.6%	0-250	3.0	Town	4.6	13,952
Report	Class A	2014	Summer	May	Alabama	Henry	Abbeville, Alabama	afternoon	8		1.0	False	FALSE	70.6%	0-250	2.0	City	7.5	6,788
Report	Class A	2014	Summer	October	Alabama	Henry	Newville	Between 3 and 4 a.m. Very foggy	12	343925	1.0	False	FALSE	70.6%	0-250	2.0	City	7.5	6,788
Report	Class B	2014	Summer	March	Alabama	Jackson	Scottsboro	It was a hot clear night with a full moon. There is also a street light at the boat ramp beside the dock. It was about 10:00 pm.	2	328965	1.0	False	FALSE	70.6%	0-250	2.0	Suburb	7.2	23,489
Report	Class B	2012	Winter	December	Alabama	Jackson	Hytop, AL	Tree knock - appr. 4:30 a.m., dark	5	328477	1.0	False	FALSE	70.6%	0-250	3.0	Suburb	8.8	23,760
Report	Class A	2014	Spring	January	Alabama	Jefferson	Birmingham	The tracks were seen middle or late summer and sighting happened in the fall.	9	328965	1.0	False	FALSE	70.6%	0-250	2.0	City	6.3	312,706
Report	Class A	2005	Fall	February	Alabama	Jefferson	Warrior	Mid-day, clear, sunny, warm.	5	88005	1.0	False	FALSE	70.6%	0-250	4.0	City	4.4	316,522
Report	Class A	2012	Summer	May	Alabama	Lamar	Vernon AL	Day, clear I was coming home from a little league baseball game and saw it clearly about 7:45	21	328477	1.0	False	FALSE	70.6%	0-250	3.0	Rural	7.7	5,810
Report	Class B	2010	Spring	October	Alabama	Lauderdale	Waterloo	Late evening just before dark. Clear skies no rain. Visibility was very clear.	1	371385	1.0	False	FALSE	70.6%	0-250	0.0	City	10.0	43,622
Report	Class B	2007	Winter	March	Alabama	Lee	Valley	Between 8pm to 1000pm	25	477157	1.0	False	FALSE	70.6%	0-250	2.0	City	3.7	65,467
Report	Class A	2003	Winter	November	Alabama	Lee	Opelika/Auburn area	It was a off and on rainy day and night.  First occurences started at dusk, ran through the night, and last incident was about noon of the next day.	21	206791	4.0	True	FALSE	70.6%	0-250	3.0	City	4.7	60,840
Report	Class B	2007	Spring	March	Alabama	Lee	Opelika	It was between 11:00 and midnight.It was a clear,cloudless night with a very bright moon.Not a full moon,but it was very bright.It was humid,and the temperature was in the mid 80's.I remember that the next day we had a pretty bad storm.	2	181059	2.0	False	FALSE	70.6%	0-250	2.0	City	3.7	65,467
Report	Class B	2006	Summer	August	Alabama	Limestone	Tanner, Alabama	Between 10:30 and 11:30 p.m.	23	390088	1.0	False	FALSE	70.6%	0-250	3.0	City	3.6	35,804
Report	Class A	2001	Fall	November	Alabama	Limestone	athens, al	2:00 a.m. fair weather, lights from the vehicle shining on it.	3	166482	1.0	False	FALSE	70.6%	0-250	0.0	City	4.4	33,450
Report	Class A	2000	Summer	October	Alabama	Limestone	ELKMONT	VERY HOT AROUND 11 PM ALMOST FULL MOON	13	447995	2.0	False	FALSE	70.6%	0-250	2.0	City	3.8	33,039
Report	Class A	1998	Spring	March	Alabama	Limestone	Athens	Sunny day.	17		0.0	False	FALSE	70.6%	0-250	3.0			
Report	Class A	2008	Spring	August	Alabama	Lowndes	Hayneville near Montgomery	dawn, daybreak, dew on ground damp	31	166482	1.0	False	FALSE	70.6%	0-250	4.0	City	11.3	4,861
Report	Class A	2007	Winter	January	Alabama	Macon	Tuskegee, AL	around 3:30 in the afternoon	30	477157	2.0	False	FALSE	70.6%	0-250	2.0	Town	5.5	8,888
Report	Class A	2009	Winter	February	Alabama	Madison	Huntsville Al	It was 5:40am about 30 minutes before dawn starts to light up fast--Previous day and night was rainy-that morning it was clear and chilly- There was a parking (street) light about 25 yards directly in front of area he was standing.	27	375347	2.0	False	FALSE	70.6%	0-250	3.0	City	7.4	168,854
Report	Class A	2003	Summer	October	Alabama	Madison	Huntsville Alabama	afternoon, clear, warm sunshine	27		1.0	False	FALSE	70.6%	0-250	3.0	City	4.7	154,878
Report	Class A	2000	Winter	October	Alabama	Madison	New Market	Happened day, dusk, and night	8	160710	2.0	False	FALSE	70.6%	0-250	2.0	City	3.6	149,626
Report	Class A	2007	Summer	March	Alabama	Marshall	GRANT ALABAMA	ABOUT 8-9PM AROUND A FULL MOON	3	416376	1.0	False	FALSE	70.6%	0-250	2.0	Suburb	3.5	41,398
Report	Class B	2006	Summer	December	Alabama	Mobile	Grand Bay AL	about 2 am cst, dark road but our headlights fell directly on the creature	30	168791	2.0	False	FALSE	70.6%	0-250	3.0	City	4.1	182,199
Report	Class B	2013	Winter	March	Alabama	Monroe	Uriah	0100-0200 non-overcast/no wind.	24	328477	2.0	False	FALSE	70.6%	0-250	1.0	Rural	12.0	7,764
Report	Class A	2013	Winter	March	Alabama	Morgan	Morgan	About 9:00 there were tall poles with	17	328965	0.0	False	FALSE	70.6%	0-250	1.0	City	7.0	56,951
Report	Class A	2013	Summer	January	Alabama	Morgan	Union grove	Middle of the day. Light cloud cover. It was around 94 to 96 degrees out.	28	328477	0.0	False	FALSE	70.6%	0-250	1.0	City	7.0	56,951
Report	Class B	2008	Fall	November	Alabama	Morgan	Lacey's Spring	Started at 4:00AM It was Dark weather	30	387145	0.0	False	FALSE	70.6%	0-250	4.0	City	5.4	56,997
Report	Class A	2000	Fall	October	Alabama	Morgan	valhermosa springs	1:30 pm very bright and sunny 60 degrees	11	206791	2.0	False	FALSE	70.6%	0-250	2.0	City	4.3	56,614
Report	Class A	2001	Summer	August	Alabama	Morgan	Huntsville, Alabama	It was late afternoon. Deep woods cover, with shade, but a sunny day in general.	21	206791	2.0	False	FALSE	70.6%	0-250	0.0	City	5.2	56,580
Report	Class A	2003	Summer	March	Alabama	Pickens	Aliceville	Late afternoon	5		1.0	False	FALSE	70.6%	0-250	3.0	City	8.1	8,169
Report	Class A	1998	Fall	February	Alabama	Pickens	Aliceville	Night	21	77353	0.0	False	FALSE	70.6%	0-250	3.0			
Report	Class B	2006	Spring	August	Alabama	Pike	Troy	Approximately 11:45 P.M.	9	776839	2.0	False	FALSE	70.6%	0-250	3.0	Suburb	4.0	15,182
Report	Class A	2000	Fall	August	Alabama	Russell	Seale	1981: Late at night	1		3.0	True	FALSE	70.6%	0-250	2.0	City	4.7	22,142
Report	Class A	2004	Winter	March	Alabama	Shelby	Chelsea	Approx. 11:45pm.  It was cloudy and my car lights were on hibeam. There was also a full moon visible through clouds.	5	348992	1.0	False	FALSE	70.6%	0-250	1.0	City	3.3	91,642
Report	Class A	2007	Summer	December	Alabama	St. Clair	Moody	It was at night,street lit but still dark,and it was hot weather.	26	477157	1.0	False	FALSE	70.6%	0-250	2.0	City	3.5	36,117
Report	Class B	2005	Winter	February	Alabama	St. Clair	Pell City		6	363857	1.0	False	FALSE	70.6%	0-250	4.0	City	3.9	33,663
Report	Class A	2004	Fall	May	Alabama	St. Clair	Moody	Right around dusk, just after sunset.  The weather was clear and dry, as I was in a ditch that would usually have water in it if it wasn't really dry.  The ditch was lower in elevation than the rest of the field, so it was hidden from view of the road and houses nearby.	14	184467	1.0	False	FALSE	70.6%	0-250	1.0	City	4.9	33,124
Report	Class B	2014	Summer	June	Alabama	Talladega	Talladega	10:45 to 11:00 pm very dark outside we have only a porch light on the back side of our house.	19	343925	0.0	False	FALSE	70.6%	0-250	2.0	Suburb	7.7	35,445
Report	Class A	2007	Summer	February	Alabama	Talladega	Anniston	night time, clear skys, no wind	1	363857	5.0	True	FALSE	70.6%	0-250	2.0	Suburb	5.3	39,019
Report	Class B	2000	Summer	July	Alabama	Talladega	Munford	1:00 or 2:00 AM. Weather was clear, was a Full Moon.	16	206791	3.0	True	FALSE	70.6%	0-250	2.0	Suburb	5.2	35,828
Report	Class A	2008	Fall	December	Alabama	Talladega	dont remember	11pm at night	31	193795	1.0	False	FALSE	70.6%	0-250	4.0	Suburb	7.5	38,306
Report	Class A	2014	Summer	March	Alabama	Tallapoosa	Alexander City, Alabama	about 1 in the afternoon	3		1.0	False	FALSE	70.6%	0-250	2.0	Town	7.5	18,448
Report	Class A	2014	Spring	April	Alabama	Tuscaloosa	Northport	9:00 at night extremely dark	17	343925	2.0	False	FALSE	70.6%	0-250	2.0	City	5.9	97,230
Report	Class B	2012	Spring	May	Alabama	Tuscaloosa	Tuscaloosa	We heard it right as it was getting dark	9	328477	4.0	True	FALSE	70.6%	0-250	3.0	City	7.2	95,418
Report	Class A	2003	Summer	September	Alabama	Tuscaloosa	Brookwood	It was early morning around 7am. Skys were partly cloudy. Temperature in the 80's. Dry with a little breeze.	21	362597	8.0	True	FALSE	70.6%	0-250	3.0	City	4.9	82,423
Report	Class A	2003	Summer	October	Alabama	Tuscaloosa	Brookwood	Close to 2:00 a.m.,extremely dark,no moon & no stars. It was hot and humid.	6	362597	1.0	False	FALSE	70.6%	0-250	3.0	City	4.9	82,423
Report	Class A	2000	Summer	September	Alabama	Tuscaloosa	Brookwood  Al	Occured about 11:30pm.  There was no moon. the only light we could see was that of the mines about 10 miles away.  The weather was clear with a 3-5mph breeze	2	193795	2.0	False	FALSE	70.6%	0-250	2.0	City	4.0	82,181
Report	Class A	2010	Spring	March	Alabama	Walker	Kansas	it was around 6:00pm central and it was a clear evening right before dark.	17	367783	0.0	False	FALSE	70.6%	0-250	0.0	City	12.5	27,274
Report	Class A	1990	Fall	September	Alabama	Walker			15	521843	0.0	False	FALSE	70.6%	0-250				
Report	Class A	2010	Spring	March	Alabama	Walker	Kansas	Sunny and Clear.	20	521843	0.0	False	FALSE	70.6%	0-250	0.0	City	12.5	27,274
Report	Class B	2013	Summer	December	Alabama	Walker	Nauvoo	At dark after 8:00pm. In the 70's degree temp.	9	371385	0.0	False	FALSE	70.6%	0-250	1.0	City	8.6	26,347
Report	Class A	2020	Spring	July	Alabama	Washington	Deer park	Around 4:00-5:00 pm with good lighting. It was mostly sunny or clear day.  The sunlight was not direct enough to cast shadows. It was perfect lighting for a photo shoot.	2	851017	4.0	True	FALSE	70.6%	0-250	9.0	Rural	8.0	6,729
Report	Class A	2012	Winter	November	Alabama	Washington	Fruitdale	It was very dark. I didnt see it till I turned the bright lights on	6	387145	1.0	False	FALSE	70.6%	0-250	3.0	Rural	12.2	6,887
Report	Class A	1997	Winter	January	Alabama	Washington	Wagarville	The weather was warm for Jan. about 50 degrees F. It was overcast.	6	168791	0.0	False	FALSE	70.6%	0-250	0.0			
Report	Class B	2006	Winter	December	Alabama	Wilcox	Camden, AL	Morning, about 10:00.  Sunny, cold,	20		0.0	False	FALSE	70.6%	0-250	3.0	Rural	8.6	3,572
Report	Class A	2013	Winter	December	Alabama	Winston	Haleyville	Activity mostly at night 12 to 3am when we found track there were also deer tracks	4	328965	2.0	False	FALSE	70.6%	0-250	1.0	Rural	9.5	9,638
Report	Class B	2011	Summer	September	Alabama	Winston	Double Springs	Dusk, was a clear day in about the high 80s temperature	21	367783	0.0	False	FALSE	70.6%	0-250	5.0	Rural	13.4	9,806
Report	Class A	2013	Winter	August	Arkansas	Baxter	Mountain Home	Around 2:00 am. Dark but lit well with street lamps, and headlights. Clear night, no clouds.	7	3031842	5.0	True	FALSE	55.1%	1501-2500	0.0	Town	7.8	16,158
Report	Class A	2016	Winter	August	Arkansas	Baxter	Mountain Home	2 to 3 a.m moon light night clear and cold	13	2402262	2.0	False	FALSE	55.1%	1501-2500	1.0	Town	4.3	16,130
Report	Class B	2000	Summer	July	Arkansas	Baxter	Mt. Home	THIS INCIDENT DID TAKE PLACE ON THE EARLY MORNING HOURS OF JUNE 26TH TO THE BEST OF MY MEMORY AROUND 4:30AM.  THE WEATHER WAS VERY HOT AND THE LIGHT CONDITIONS WERE DARK.	29	2274731	3.0	True	FALSE	55.1%	1501-2500	1.0	Town	4.1	16,294
Report	Class A	2000	Spring	March	Arkansas	Baxter	Mountain Home	It was just turning dark when you turn the lights on but you dont really need them.	3	2560569	0.0	False	FALSE	55.1%	1501-2500	1.0	Town	4.1	16,294
Report	Class B	2004	Summer	February	Arkansas	Baxter	Bull Shoals or Norfolk	around 10 am, bright sunny day	11	1996990	1.0	False	FALSE	55.1%	1501-2500	0.0	Town	6.1	16,452
Report	Class A	1998	Fall	November	Arkansas	Baxter	Mountain Home		5		1.0	False	FALSE	55.1%	1501-2500	1.0			
Report	Class A	2003	Fall	April	Arkansas	Benton	Siloam Springs	around 5:30am, natural lighting, cool dry conditions	16	2053427	1.0	False	FALSE	55.1%	1501-2500	2.0	City	3.5	88,695
Report	Class A	2003	Spring	October	Arkansas	Benton	bever lake or lost bridge	sun was setting	8	2816965	0.0	False	FALSE	55.1%	1501-2500	2.0	City	3.5	88,695
Report	Class B	2001	Fall	June	Arkansas	Benton	Lowell	1100 AM, approximately 50 degrees, sunny	4	2243965	2.0	False	FALSE	55.1%	1501-2500	1.0	City	2.9	80,257
Report	Class B	2001	Summer	August	Arkansas	Carroll	Eureka Springs	It wa approximately 11:00 PM.	22	2318599	4.0	True	FALSE	55.1%	1501-2500	1.0	Town	4.0	12,965
Report	Class A	2019	Spring	March	Arkansas	Carroll	Holiday island	9am	31	2274731	3.0	True	FALSE	55.1%	1501-2500	4.0	Town	3.1	12,825
Report	Class A	2004	Summer	October	Arkansas	Carroll	Eureka Springs	Around or after midnight in late June or early July.  It was a warm night.	12	2816965	3.0	True	FALSE	55.1%	1501-2500	0.0	Town	4.8	13,376
Report	Class A	2012	Summer	August	Arkansas	Chicot	Lake Village	It was at night, around 10:30pm. Clear night.	5	2727454	0.0	False	FALSE	55.1%	1501-2500	1.0	Rural	10.9	4,074
Report	Class A	1996	Summer	September	Arkansas	Clark		It was about 3:00 p.m. I belive the thermometer read 69 degrees outside.	16	2468449	0.0	False	FALSE	55.1%	1501-2500	1.0			
Report	Class A	2001	Spring	December	Arkansas	Clark	Biern, AR., southwest of Gurdon,AR.	Between 1pm and 4pm.	19	1886002	1.0	False	FALSE	55.1%	1501-2500	1.0	Town	4.5	11,280
Report	Class A	2007	Summer	May	Arkansas	Cleveland	Kingsland	about 11:00 p.m. and it was dark and the weather was clear.	4	2402262	2.0	False	FALSE	55.1%	1501-2500	2.0	City	5.8	4,124
Report	Class A	2001	Summer	August	Arkansas	Cleveland	Herbine, Arkansas; Rison Arkansas	1:30 at night. A 150w outside lightbulb, and an outside nightlight (the kind the electrict company puts up).	1	2318599	1.0	False	FALSE	55.1%	1501-2500	1.0	City	5.5	3,927
Report	Class A	2017	Summer	December	Arkansas	Conway	Hattieville	Night, but lighted very well from carport where my truck was. I saw it about 2 seconds beyond fast! It was a little humid.	28	3512692	2.0	False	FALSE	55.1%	1501-2500	4.0	Town	4.8	8,241
Report	Class A	2010	Fall	March	Arkansas	Crawford	Cedarville	it wasnt too dark with the moon shining on us, it gave us pretty good light. It was pretty cool outside, but not too bad.	21	2185986	2.0	False	FALSE	55.1%	1501-2500	1.0	City	7.9	28,286
Report	Class A	2018	Summer	July	Arkansas	Crittenden	West Memphis	Between 4:00 pm and 5:00 pm	22	2556666	1.0	False	FALSE	55.1%	1501-2500	2.0	City	4.3	21,194
Report	Class B	2000	Winter	September	Arkansas	Crittenden	West Memphis	pitch dark bout 4.00 am in the morning. chilly calm winds. a perfect hunting day	22	2103847	2.0	False	FALSE	55.1%	1501-2500	1.0	City	4.1	21,967
Report	Class A	2006	Summer	March	Arkansas	Crittenden	Hughes, Arkansas	8:00 pm., clear, calm skies, still light enough to see clearly.	1	1996990	2.0	False	FALSE	55.1%	1501-2500	2.0	City	6.9	22,158
Report	Class A	2004	Spring	June	Arkansas	Desha	Watson, AR	1:00 a.m.	25	2318599	0.0	False	FALSE	55.1%	1501-2500	0.0	Town	8.9	6,033
Report	Class A	2019	Summer	December	Arkansas	Desha	Elaine, AR  10 miles away	8:00 PM Central DST	31	2040920	2.0	False	FALSE	55.1%	1501-2500	4.0	Town	4.4	5,410
Report	Class B	2012	Winter	November	Arkansas	Drew	Monticello	dusk	29	2879494	5.0	True	FALSE	55.1%	1501-2500	1.0	Town	10.1	8,517
Report	Class B	2011	Spring	May	Arkansas	Faulkner	mayflower	afternoon	31	3125664	1.0	False	FALSE	55.1%	1501-2500	6.0	City	6.8	59,201
Report	Class A	2013	Winter	February	Arkansas	Fulton	HARDY	IT WAS A NICE DAY IT WAS EARLY MORNING BUT GOOD LIGHT.	26	2873026	1.0	False	FALSE	55.1%	1501-2500	0.0	Rural	6.7	4,946
Report	Class A	2002	Spring	November	Arkansas	Fulton	Salem Arkansas	around 9 PM. The bright lights from my car were the only light source other than moon and stars. The weather was clear.	3	2274731	1.0	False	FALSE	55.1%	1501-2500	1.0	Rural	6.8	4,871
